from,to,weight
N187,N188,50.0
N188,N189,50.0
N189,N190,50.0
N190,N191,50.0
N191,N192,50.0
N192,N193,50.0
N193,N194,50.0
N194,N195,50.0
N195,N196,50.0
N196,N197,50.0
N197,N198,29.0
N198,N199,21.0
N199,N200,50.0
N200,N201,50.01
N201,N202,50.0
N202,N203,50.0
N203,N204,50.0
N204,N205,50.0
N205,N206,50.01
N206,N207,50.0
N207,N208,50.0
N208,N209,50.0
N209,N210,50.01
N210,N211,50.0
N211,N212,50.0
N212,N213,50.0
N213,N214,50.01
N214,N215,50.0
N215,N216,50.0
N216,N217,50.0
N217,N218,50.0
N218,N219,50.01
N219,N220,50.0
N220,N221,26.0
N222,N223,50.0
N223,N224,50.0
N224,N225,50.0
N225,N226,50.0
N226,N227,50.0
N227,N228,50.0
N228,N229,50.0
N229,N230,50.0
N230,N231,50.0
N231,N232,50.0
N232,N215,54.781
N195,N233,52.038
N233,N234,50.01
N234,N235,50.0
N235,N236,50.0
N236,N237,50.01
N237,N238,50.0
N238,N239,50.0
N239,N240,50.0
N240,N241,50.01
N241,N242,50.0
N242,N243,50.0
N243,N244,50.01
N244,N245,50.0
N245,N246,50.0
N246,N247,50.01
N247,N248,50.0
N198,N249,48.0
N249,N250,50.01
N250,N251,50.0
N251,N252,50.0
N252,N253,50.01
N253,N254,34.0
N239,N255,51.039
N255,N256,50.0
N256,N257,50.0
N257,N258,50.0
N258,N259,49.0
N259,N260,51.0
N260,N261,50.01
N261,N262,50.0
N262,N263,50.01
N263,N264,24.0
N264,N265,26.0
N265,N266,50.0
N266,N267,50.01
N267,N268,50.0
N268,N269,50.0
N269,N243,31.828
N257,N270,51.923
N270,N271,50.0
N271,N272,50.0
N272,N273,50.0
N273,N274,41.231
N274,N275,20.0
