id,x,y,name,type,floor
custom_1758020878737,2441.2646484375,801.8875732421875,ห้อง 2105,room,1
custom_1758020970885,2441.2646484375,1048.7664794921875,ห้อง 2106,room,1
custom_1758021067599,2094.384033203125,739.3865966796875,ห้องวารสารต่างประเทศ,room,1
custom_1758021082517,2091.259033203125,923.7644653320312,ห้อง2104,room,1
custom_1758021093147,1806.879638671875,798.7625122070312,ห้องสมุด,room,1
custom_1758021143562,1566.2508544921875,933.1396484375,ห้อง 2103,room,1
custom_1758021168809,1563.1258544921875,798.7625122070312,ห้อง 2102,room,1
custom_1758021204556,1366.2476806640625,1011.265869140625,ศูนย์เรียนรู้,room,1
custom_1758021247540,2041.25830078125,1248.76953125,ห้องน้ำหญิง,room,1
custom_1758021270434,1678.752685546875,1251.8946533203125,ห้องน้ำชาย,room,1
custom_1758021314442,1572.5009765625,1255.0196533203125,ลิฟท์,elevator,1
custom_1758021352420,2285.01220703125,717.51123046875,บันได(ขวา),stairs,1
custom_1758021373835,1481.87451171875,680.0106811523438,บันได(ซ้าย),room,1
custom_1758021393265,2128.759765625,1248.76953125,บันไดโรงรถ,stairs,1
custom_1758028286789,2303.762451171875,798.7625122070312,01,door,1
custom_1758028296582,2303.762451171875,923.7644653320312,02,door,1
custom_1758028306341,2381.888671875,1117.517578125,03,door,1
custom_1758028317418,2028.7581787109375,989.3905029296875,04,door,1
custom_1758028324194,2031.8831787109375,858.138427734375,05,door,1
custom_1758028334497,2106.88427734375,1211.26904296875,06,door,1
custom_1758028344356,2072.5087890625,1211.26904296875,07,door,1
custom_1758028354458,1647.5020751953125,1211.26904296875,08,door,1
custom_1758028365672,1963.132080078125,801.8875732421875,09,door,1
custom_1758028388892,1806.879638671875,989.3905029296875,10,door,1
custom_1758028397843,1625.6268310546875,873.763671875,11,room,1
custom_1758028406394,1597.5013427734375,858.138427734375,12,room,1
custom_1758028421264,1569.3758544921875,1205.0189208984375,13,door,1
custom_1758028436379,1459.9991455078125,1208.1439208984375,14,door,1
custom_1758028445899,1419.37353515625,889.388916015625,15,door,1
custom_1758028454883,1309.996826171875,1117.517578125,16,door,1
custom_1758028477278,1503.7498779296875,708.1361083984375,17,door,1
custom_1758028493306,2260.01171875,1208.1439208984375,18,door,1
N187,1458.0,633.0,walk N187,junction,1
N188,1458.0,683.0,walk N188,junction,1
N189,1458.0,733.0,walk N189,junction,1
N190,1458.0,783.0,walk N190,junction,1
N191,1458.0,833.0,walk N191,junction,1
N192,1458.0,883.0,walk N192,junction,1
N193,1458.0,933.0,walk N193,junction,1
N194,1458.0,983.0,walk N194,junction,1
N195,1458.0,1033.0,walk N195,junction,1
N196,1458.0,1083.0,walk N196,junction,1
N197,1458.0,1133.0,walk N197,junction,1
N198,1458.0,1162.0,walk N198,junction,1
N199,1479.0,1162.0,walk N199,junction,1
N200,1529.0,1162.0,walk N200,junction,1
N201,1579.0,1163.0,walk N201,junction,1
N202,1629.0,1163.0,walk N202,junction,1
N203,1679.0,1163.0,walk N203,junction,1
N204,1729.0,1163.0,walk N204,junction,1
N205,1779.0,1163.0,walk N205,junction,1
N206,1829.0,1164.0,walk N206,junction,1
N207,1879.0,1164.0,walk N207,junction,1
N208,1929.0,1164.0,walk N208,junction,1
N209,1979.0,1164.0,walk N209,junction,1
N210,2029.0,1165.0,walk N210,junction,1
N211,2079.0,1165.0,walk N211,junction,1
N212,2129.0,1165.0,walk N212,junction,1
N213,2179.0,1165.0,walk N213,junction,1
N214,2229.0,1166.0,walk N214,junction,1
N215,2279.0,1166.0,walk N215,junction,1
N216,2329.0,1166.0,walk N216,junction,1
N217,2379.0,1166.0,walk N217,junction,1
N218,2429.0,1166.0,walk N218,junction,1
N219,2479.0,1167.0,walk N219,junction,1
N220,2529.0,1167.0,walk N220,junction,1
N221,2555.0,1167.0,walk N221,junction,1
N222,2259.0,615.0,walk N222,junction,1
N223,2259.0,665.0,walk N223,junction,1
N224,2259.0,715.0,walk N224,junction,1
N225,2259.0,765.0,walk N225,junction,1
N226,2259.0,815.0,walk N226,junction,1
N227,2259.0,865.0,walk N227,junction,1
N228,2259.0,915.0,walk N228,junction,1
N229,2259.0,965.0,walk N229,junction,1
N230,2259.0,1015.0,walk N230,junction,1
N231,2259.0,1065.0,walk N231,junction,1
N232,2259.0,1115.0,walk N232,junction,1
N233,1510.0,1035.0,walk N233,junction,1
N234,1560.0,1036.0,walk N234,junction,1
N235,1610.0,1036.0,walk N235,junction,1
N236,1660.0,1036.0,walk N236,junction,1
N237,1710.0,1037.0,walk N237,junction,1
N238,1760.0,1037.0,walk N238,junction,1
N239,1810.0,1037.0,walk N239,junction,1
N240,1860.0,1037.0,walk N240,junction,1
N241,1910.0,1038.0,walk N241,junction,1
N242,1960.0,1038.0,walk N242,junction,1
N243,2010.0,1038.0,walk N243,junction,1
N244,2060.0,1039.0,walk N244,junction,1
N245,2110.0,1039.0,walk N245,junction,1
N246,2160.0,1039.0,walk N246,junction,1
N247,2210.0,1040.0,walk N247,junction,1
N248,2260.0,1040.0,walk N248,junction,1
N249,1410.0,1162.0,walk N249,junction,1
N250,1360.0,1161.0,walk N250,junction,1
N251,1310.0,1161.0,walk N251,junction,1
N252,1260.0,1161.0,walk N252,junction,1
N253,1210.0,1160.0,walk N253,junction,1
N254,1176.0,1160.0,walk N254,junction,1
N255,1808.0,986.0,walk N255,junction,1
N256,1808.0,936.0,walk N256,junction,1
N257,1808.0,886.0,walk N257,junction,1
N258,1808.0,836.0,walk N258,junction,1
N259,1808.0,787.0,walk N259,junction,1
N260,1859.0,787.0,walk N260,junction,1
N261,1909.0,788.0,walk N261,junction,1
N262,1959.0,788.0,walk N262,junction,1
N263,2009.0,789.0,walk N263,junction,1
N264,2033.0,789.0,walk N264,junction,1
N265,2033.0,815.0,walk N265,junction,1
N266,2033.0,865.0,walk N266,junction,1
N267,2032.0,915.0,walk N267,junction,1
N268,2032.0,965.0,walk N268,junction,1
N269,2032.0,1015.0,walk N269,junction,1
N270,1758.0,872.0,walk N270,junction,1
N271,1708.0,872.0,walk N271,junction,1
N272,1658.0,872.0,walk N272,junction,1
N273,1608.0,872.0,walk N273,junction,1
N274,1598.0,832.0,walk N274,junction,1
N275,1598.0,812.0,walk N275,junction,1
